我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
　　往自己兜里划拉钱呗，这都看不懂。讨论啥面积。弱智。。。。这就跟解决道路堵塞问题一样，收费呗。。。。p民房子都买了，地也卖得差不多了，还得过七十年才能再卖一回，咋办呢？用屁股想！　　举报|1333楼|打赏|回复|评论|赞
　　农民本来争不到几个钱啊举报|1335楼|打赏|回复|评论|赞
　　楼主分析得有理举报|1337楼|打赏|回复|评论|赞
　　加任何税，我都反对！　　　　没一个税是好东西　　要求收的吗的都是狗腿子举报|1338楼|打赏|回复|评论|赞
　　因为税收没有用于民生，并且无法监督，所以，我反对任何形式的税收！！！！！！　　　　　　　　因为税收没有用于民生，并且无法监督，所以，我反对任何形式的税收！！！！！！　　　　　　　　　　　　　　　　　　　　因为税收没有用于民生，并且无法监督，所以，我反对任何形式的税收！！！！！！　　=====================================================　　　　　　　　绝对支持举报|1339楼|打赏|回复|评论|赞
　　3举报|1340楼|打赏|回复|评论|赞
　　1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　=====================================　　1，若房产税只对三套以上房产征收，按套数递增，你这条不成立。　　2，参考第一条，若我只有一套房，不收我税。　　3，参考第一条，农村人没有必要搞几套房。　　4，参考第一条，唯一房子不收税。　　5，子孙后代买那么多房子炒，出了问题自己负责！　　　　谢谢。举报|1343楼|打赏|回复|评论|赞
　　作者：海岛论剑　回复日期：2010-12-08　13:25:28　　　　　　　作者：topchip　回复日期：2010-12-08　13:16:13　　　　　2.征税真的能降房价？敢不敢用执政权打个赌？不敢就别玩！之前失败的实例太多了！　　　　——————————————————————————————　　　　能不能降房价，关键在于税率设计。至少基本居住面积免税，是不给普通百姓增加负担的。对住房超标的富人征税，政府就会把这部分钱用来建公租房，对底层群众不是坏事。　　================================　　你不要再在这放p了好吧，我真是受够了你了！！ZF卖了那么多的地得了那么多的钱，那里面本来规定就应该拿出一定比例来建保障房廉租房的，可是到现在为止有哪个ZF做到了？？他们不这样做的原因在哪里你想过吗？！难道他们收了房产税就能做到了，你真是异想天开白痴！　　　　还有，你如果站在ZF按他们常识性的思维来考虑这个问题，你就会知道你有多弱智了。如果只收那些拥有多套住房的炒房客，那才收多点钱啊，ZF肯吗？？！！　　　　还有，这样能降低房价吗？假设我有三套房子，我完全可以把那两套租出去，就算不涨房租最起码用房租来顶税是足够了，我干嘛一定非得卖啊。　　　　还有，真要收的话问题多了去了，是按当时买的价还是按现在的价收？如果按现在的房价收，恐怕好多人连饭都吃不了。如果按当时买的价收税，必会造成不公平引起混乱。如果是评估，那得是多大工程量，得耗费多少资金你算过吗？并且这里面会不会有腐败？　　　　美国凡是住廉租房的人，政府规定每月付的房租水电不得超过其工资的30%，多出部分由政府补贴。按揭还贷的人也是每月不得超过其工资收入的30%。　　我们国家真不能再加税了。做为一个世界第二大经济体的国家，现在应该是国家花钱来补贴老百姓，来减经老百姓生活负担的时候了，而不是无底限的加重百姓的负担！！举报|1344楼|打赏|回复|评论|赞
　　怎么还有傻瓜搞不明白，房地局的负责人已经说过了，房产税主要是为了增加地方财政，你们都没看电视啊　　　　　　还在叫着为了降房价，真的是愚民还是税托啊举报|1346楼|打赏|回复|评论|赞
　　3举报|1347楼|打赏|回复|评论|赞
　　如果房产税是为了让百姓都有房住，我赞成！比例应该是官府出60%房地产商出25%个人出15%，然后公开透明的让大家看见资金的流向与用途！否则我没有义务去交房产税！房产诚可贵，自由价更高，若为性命故，两者皆可抛！举报|1348楼|打赏|回复|评论|赞
　　怎么还有傻瓜搞不明白，房地局的负责人已经说过了，房产税主要是为了增加地方财政，你们都没看电视啊　　　　　　　　　　　　还在叫着为了降房价，真的是愚民还是税托啊举报|1350楼|打赏|回复|评论|赞
　　不知道具体是怎么回事，　　真的是有房子就要交税吗？　　我们的党是怎么了，除了钱什么都不认了吗？　　房价如果不是官商勾结能涨的这么恐怖吗，现在有以控制房价为借口再次残害老百姓。。　　除了无语什么也做不了。举报|1351楼|打赏|回复|评论|赞
　　作者：黑叶木莓　回复日期：2010-12-09　20:07:29　　　　　　　1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　　　　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　　　　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　　　　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　　　　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　　　　　=====================================　　　　1，若房产税只对三套以上房产征收，按套数递增，你这条不成立。　　　　2，参考第一条，若我只有一套房，不收我税。　　　　3，参考第一条，农村人没有必要搞几套房。　　　　4，参考第一条，唯一房子不收税。　　　　5，子孙后代买那么多房子炒，出了问题自己负责！　　＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝　　问你两个问题：一，如果ZF只对三套以上的房产收税，那他们才收多么点点钱，你以为他们肯吗？　　二，ZF卖地得了那么多钱，各种税那么多钱，都花到哪去了，纳税人知情吗？ZF卖地得的那些钱里本应该拿出10%建保障房廉租房，可是他们是这样做的吗？　　在美国，欧洲，ZF每花一笔钱都必须经过纳税人的同意。但是在这里，这么多的钱用去了哪里我们p民没有知情权没有决定权的情况下，我坚决反对一切的增加税收！！举报|1352楼|打赏|回复|评论|赞
　　　　作者：huangwei5157　回复日期：2010-12-09　20:20:08　　　　　　　怎么还有傻瓜搞不明白，房地局的负责人已经说过了，房产税主要是为了增加地方财政，你们都没看电视啊　　　　　　　　　　　　　　　　　　还在叫着为了降房价，真的是愚民还是税托啊举报|1353楼|打赏|回复|评论|赞
　　某些人他们觉得自己这辈子或他们的儿女生活水平就永远是他们定的30平以内了。来自天涯社区客户端|举报|1354楼|打赏|回复|评论|赞
　　有道理，赞一个　　　　★发自天涯专用iPhone软件-百读不倦举报|1355楼|打赏|回复|评论|赞
　　这种人交不起税，几年以后说不定住在自己人均30平以内的房子拿低保呢。社会是发展的，就像当初个人所得税……虽然是逐步上调起征点，但大家都跑不掉。为加税而欢呼，这种人即便子现在买的起房子，以后也说不定会拿低保，可怜他们吧来自天涯社区客户端|举报|1356楼|打赏|回复|评论|赞
　　找不到说话的权利……我们除了被动接受没有别的办法了　　有本事你饿*我们穷苦大众举报|1357楼|打赏|回复|评论|赞
　　只有一类人受益！　　举报|1359楼|打赏|回复|评论|赞
　　现在就这样，罪魁就是pi民举报|1360楼|打赏|回复|评论|赞
　　总之多收税对百姓无益处，只是官员用来挥霍找情妇等享花掉了。举报|1361楼|打赏|回复|评论|赞
　　房产税对于一套住房的是不收税的举报|1364楼|打赏|回复|评论|赞
"　　作者：海岛论剑　回复日期：2010-12-08　21:28:21　　　　　　　　　　　作者：huangwei5157　回复日期：2010-12-08　21:22:16　　　　　　　“海岛论剑”你这个白痴还真是名副其实的，土地70年到期也会自动续期的话那还规定70年使用权干吗呢？直接规定永久就行了，如果是拆迁也会给你足额补偿的话，会有这么多人拆迁自焚吗？说你是政府的托真没错啊　　　　　　_________________________________________________________　　　　　　70年的期限的做法是跟香港学的，预售制也是跟香港学的，实际上并不适合国情。土地期限用在商业用地上还可以，用在住宅上根本是无用的，终成摆设。国人也都清楚这一点，否则就不会花那么多钱买商品房了。你所说的拆迁自焚的大部分是索取超额补偿的钉子户，不足为据。　　　　　　＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝　　大家都上眼来瞧瞧，这个海岛论剑这个畜牲是多么的混帐！！他居然说拆迁自焚的大部分是索取超额补偿的钉子户，我草你ma!!　　我告诉你个sb,你听好了，越是那种趁机索要高额赔偿的钉子户，越不会去自焚！那些自焚的大都是赔偿的钱远不够他们在当地买房的，但凡能有个差不多住的地方谁愿意去死啊草！！　　海岛论剑你这个畜牲，言谈议论之间完全是对百姓生命的漠视，视百姓如草芥。你这种人不会有好报应的！！举报|1365楼|打赏|回复|评论|赞"
　　总之多收税对百姓无益处，只是官员用来挥霍找情妇等享花掉了。举报|1366楼|打赏|回复|评论|赞
　　卯个利益集团的经济就压在10亿人民的安居房子上了人民想安居那是在做梦房价是不会降一分还没涨到头为什么说没涨到头你看看全国各大城市又出了多少个地王这个利益集团以不得民心现在也只有继续涨直到这利益集团完旦从起点转了一圈又回到起点知道今年卖了土地9千万亿近十年拿了人民多少这是欠人民的难到不是吗...举报|1367楼|打赏|回复|评论|赞
　　总之多收税对百姓无益处，只是官员用来挥霍找情妇等享受花掉了。举报|1369楼|打赏|回复|评论|赞
　　物价飞涨，房租也涨，快活不下去了。举报|1370楼|打赏|回复|评论|赞
　　对于富人来说这点税是毛毛雨。到时候政策真下来受苦的就是p民！税托们也不会有好果子吃的。顶楼主！　　　　★发自天涯专用iPhone软件-百读不倦举报|1372楼|打赏|回复|评论|赞
　　房产税是以房屋为征税对象，按房屋的计税余值或租金收入为计税依据，向产权所有人征收的一种财产税。现行的房产税是第二步利改税以后开征的，1986年9月15日，国务院正式发布了《中华人民共和国房产税暂行条例》，从当年10月1日开始实施。据证券日报2010年7月22日报道，有消息称，在财政部举行的地方税改革研讨会上，相关人士表示，房产税试点将于2012年开始推行。但鉴于全国推行难度较大，试点将从个别城市开始。举报|1373楼|打赏|回复|评论|赞
　　傻B一个举报|1374楼|打赏|回复|评论|赞
"　　收房产税,房租更贵.举报|1375楼|打赏|回复|评论|赞"
　　　　　　不知道这些跪求加税的脑残　　　　　　　　过几年会不会忏悔　　　　　　　　当然体制内的税托除外　　举报|1376楼|打赏|回复|评论|赞
　　我怕谁！举报|1377楼|打赏|回复|评论|赞
　　　　　　　　怎么还有傻瓜搞不明白，房地局的负责人已经说过了，房产税主要是为了增加地方财政，你们都没看电视啊　　　　　　　　　　　　　　　　　　　　　　　　还在叫着为了降房价，真的是愚民还是税托啊　　举报|1378楼|打赏|回复|评论|赞
　　反对任何税收　　ZF高价卖地股钱包却不为民做事无罪！！！　　房价一高矛头全指向房产商ZF聪敏！！！　　控制房价来个房产税ZF钱包不股都难~~~~~~！！那么多资金去哪了？问那些2奶就知道了！　　居然还有人呼吁房产税希望一辈子呆在那30平米？要么就是税托　　　　　　　　反对任何税收　　ZF高价卖地股钱包却不为民做事无罪！！！　　房价一高矛头全指向房产商ZF聪敏！！！　　控制房价来个房产税ZF钱包不股都难~~~~~~！！那么多资金去哪了？问那些2奶就知道了！　　居然还有人呼吁房产税希望一辈子呆在那30平米？要么就是税托　　　　　　　　　　反对任何税收　　ZF高价卖地股钱包却不为民做事无罪！！！　　房价一高矛头全指向房产商ZF聪敏！！！　　控制房价来个房产税ZF钱包不股都难~~~~~~！！那么多资金去哪了？问那些2奶就知道了！　　居然还有人呼吁房产税希望一辈子呆在那30平米？要么就是税托　　　　　　　　反对任何税收　　ZF高价卖地股钱包却不为民做事无罪！！！　　房价一高矛头全指向房产商ZF聪敏！！！　　控制房价来个房产税ZF钱包不股都难~~~~~~！！那么多资金去哪了？问那些2奶就知道了！　　居然还有人呼吁房产税希望一辈子呆在那30平米？要么就是税托举报|1379楼|打赏|回复|评论|赞
　　你们怎么都说房产税，我看现在应该征收的是房屋空置税，应该在百分之十以上，这样就会打击炒房的和囤房的。你们也不看看现在多少楼盘的入住率低于百分之五十。可是政府就是避而不谈空置问题，为什么？而住房的空置是浪费资源在欧美是要重罚的。可我们的政府却避而不谈，到底是为什么？因为我们的政府官员都是有多套房子的。他们不会为了老百姓而去损害自己的利益举报|1380楼|打赏|回复|评论|赞
　　人多团结不起来。　　　　★发自天涯专用iPhone软件-百读不倦举报|1381楼|打赏|回复|评论|赞
　　3举报|1382楼|打赏|回复|评论|赞
　　　　作者：达月2009　回复日期：2010-12-09　20:43:43　　　　　　　反对任何税收　　　　ZF高价卖地股钱包却不为民做事无罪！！！　　　　房价一高矛头全指向房产商ZF聪敏！！！　　　　控制房价来个房产税ZF钱包不股都难~~~~~~！！那么多资金去哪了？问那些2奶就知道了！　　　　居然还有人呼吁房产税希望一辈子呆在那30平米？要么就是税托　　=================================　　　　　　　　清醒的人越来越多了啊举报|1383楼|打赏|回复|评论|赞
　　LZ脑残以为自己牛逼其实是SB举报|1384楼|打赏|回复|评论|赞
　　房产出租的，以房产租金收入为房产税的计税依据。　　房产税当然会转嫁给租房者。　　收税很正常，关键是你拿税干了什么举报|1385楼|打赏|回复|评论|赞
　　说再多也没用，等着吧。举报|1386楼|打赏|回复|评论|赞
　　挣不征房产税无所谓，只希望政府财政支出能透明就行了，抢钱也要知道用到哪了吧举报|1387楼|打赏|回复|评论|赞
　　还是那句话，水能载舟亦能覆舟！！！！举报|1388楼|打赏|回复|评论|赞
　　房产税绝对可以降低房价　　　　房产税只要税率设计合理，绝对可以降低房价。新房不含税，二手房也是差别税率，这样高税率成本无法转嫁，从而抑制投机，并且会促使大量囤积房源涌出，竞相降价出售。也会迫使大量空置房出租来弥补税款，不为赚钱。税率一定要狠，对超面积的三套房税率不应低于3%，直到20%，这样税款也无法加到租金里，只能降价出售。房产税实施后最长一年就能见到降价效果。举报|1389楼|打赏|回复|评论|赞
　　楼主在放屁。举报|1390楼|打赏|回复|评论|赞
　　作者：海岛论剑　回复日期：2010-12-08　10:11:41　　　　　　　这个帖子是明显的房托拉底层群众做“同盟军”，可恰恰房托以前榨取的就是这些“同盟军”的血汗。用心良苦，造谣惑众，卑鄙无耻。　　________________________________________________　　　　看您的话语比较心平气和，这个税关键是目的要纯正，就是保民生、打击投机。举报|1391楼|打赏|回复|评论|赞
　　课卷杂碎举报|1392楼|打赏|回复|评论|赞
　　支持加税的那帮人他们自己就把自己的放在社会的最底层了，因为收不到他们的税。。。他们一直是处于社会的最底层的，可怜他们吧。。。　　他们以为人均30平以内，有多套房的就抛售了？　　大家都住30平以内的就没有贫富差距了？　　那这个社会发展的动力是什么？？　　即便达到你们30平以内的住房标准不收你的税你自己满意了，可是你的子孙后代也是永远只住在30平以内的房子里吗？　　　　社会是进步的，征税也是正常的，社会的进步是谁创造的？当然却不了你，我们广大的人均30平以内的人们，可是大的财富是制造的？还是有钱人创造的，有钱人多缴税。。。　　　　只要你有钱你就多缴税。。。。　　　　可是我的税到底用在什么地方了？？？？？？用来改善民生了吗？？？？？　　　　　　可怜的人们，不要以为收不到自己头上，更不要寄希望于房产税会大幅打压房价。　　房价只有一个可能大幅下跌，那就是经济出现严重的问题！！　　你现在没房子，估计到那时，你也不会去买房子了，你依然是没有房子的。。　　　　如果我们的税收都有公开透明的支出渠道，我赞成有钱人多缴税多承担些社会责任。。。可是我们的这些税到底是谁来监管？？？？？？？？？　　　　为了节能减排，出个车船税，汽车该怎么卖还怎么卖，甚至1.6以下的减免购置税刺激汽车消费，。。现在汽车卖出去了，要为了节能减排要增税，交车船税。。。。。　　　　现在这个房产税，同样的道理，只是增加民众负担和政府收入，　　过两年大家来看看，那些欢呼加税的可怜的人们，他们会怎样。。。。。　　举报|1393楼|打赏|回复|评论|赞
　　作者：心已老啊　回复日期：2010-12-09　20:45:54　　　你们怎么都说房产税，我看现在应该征收的是房屋空置税，应该在百分之十以上，这样就会打击炒房的和囤房的。　　————————————————————————————　　中国人太聪明，住房空置税技术上无法实现。举报|1394楼|打赏|回复|评论|赞
　　放心好啦，谁家房子最多？？？当官的最多！自己征自己的税！？可能吗？？？？？？？？？？？？？举报|1395楼|打赏|回复|评论|赞
　　我就不明白了，为什么控制房价就要敛财才行，ZF把土地出让金规定拿出一半建设保障房不是更能降低房价么？？？？只知道敛财！！！！举报|1396楼|打赏|回复|评论|赞
　　不管房产税怎么收，我们还要生活　　不管政府怎么作为，我们还要过日子　　　　波波团够网，为您节省每一天，团结就是力量，我们团结起来，用最低的价格买到最好的产品。www.bobotg.com举报|1397楼|打赏|回复|评论|赞
　　作者：晃岩　回复日期：2010-12-09　20:55:56　　　看您的话语比较心平气和，这个税关键是目的要纯正，就是保民生、打击投机。　　————————————————————————————————————　　这正是本人支持房产税的原因所在，但是既得利益集团太强大，他们会百般阻挠房产税出台，或许他们也会花钱雇佣水军操纵网络舆论。举报|1399楼|打赏|回复|评论|赞
　　就好比羊主人说剪掉羊毛去卖钱，以后给你买貂皮大衣保暖一样可笑，取之于民，但用之于XX.举报|1400楼|打赏|回复|评论|赞
　　作者：海岛论剑　回复日期：2010-12-08　12:51:21　　　　　　　作者：农家游子发表日期：2010-12-812:35:00　　　　“中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。”　　　　这话基本是放屁！个人所得税就是个例子！现在变成了拿工资的人都得交税，整个一个人头税！　　　　——————————————————————————————　　　　你这话才是放屁，全国至少有一半的工薪阶层的月收入是达不到起征点交个人所得税的，怎么叫人头税了？不要只看你周围的人，去全国走一走，你就知道了！　　　　=================================================================　　不知道海岛lunjian这个傻帽还会不会上来，这是国家统计局提供的资料：　　　　国家统计局昨日公布2009年职工工资统计数据，其中城镇非私营单位在岗职工年平均工资为32736元，而私营单位就业人员平均工资仅有18199元，差距明显。　　　　非私营职工月均已超过2700元，私营的也超过1500，而且还是09年的，按统计局的个性，今年一定会增长5%以上，因为要超过CPI才行。个税起征点才2000，这不叫人头税叫啥?至少是非私营单位在岗职工的人头税吧。　　海岛lunjian这家伙一定不是非私营单位在岗职工　　举报|1401楼|打赏|回复|评论|赞
　　加税人人有份！福利只字不提！我靠来自天涯社区客户端|举报|1402楼|打赏|回复|评论|赞
　　作者：东方羽儿　回复日期：2010-12-09　20:53:10　　　房产出租的，以房产租金收入为房产税的计税依据。　　————————————————————————　　新的条例正在修订中，将一律按房产价值征收，跟是否出租没关系。　　　　举报|1403楼|打赏|回复|评论|赞
　　　　作者：海岛论剑　回复日期：2010-12-09　21:01:42　　　　　　　作者：晃岩　回复日期：2010-12-09　20:55:56　　　　　看您的话语比较心平气和，这个税关键是目的要纯正，就是保民生、打击投机。　　　　————————————————————————————————————　　　　这正是本人支持房产税的原因所在，但是既得利益集团太强大，他们会百般阻挠房产税出台，或许他们也会花钱雇佣水军操纵网络舆论。　　　　===================================================　　　　　　白痴又出来了，敬业啊　　　　房产税就是受到利益集团手里的！！！！！举报|1404楼|打赏|回复|评论|赞
　　ZF出台的所有抑制房价过快增长的办法都是敛财，什么提高利率，提高首付和限购，是为了不让银行有风险，地卖的一天比一天贵，房价怎么能降下来？？？如果真想控制房价，就把每年土地出让金规定一半用于建设保障房，保障房用地政府无偿出让，地卖的越贵越好，房价贵了也无所谓，富人改善居住条件，也负担了更多责任。穷人也有安身之地，安居才能乐业，ZF所有政策都是敛财，没有为人民着一点想。这是什么郭家？？？如果真要收房产税，那税收用于建设保障房也行，但财政支出能透明么？？？？还不是到了特权阶层的腰包！！！举报|1405楼|打赏|回复|评论|赞
　　作者：wl8696505　回复日期：2010-12-09　20:58:54　　　　　　　我就不明白了，为什么控制房价就要敛财才行，ZF把土地出让金规定拿出一半建设保障房不是更能降低房价么？？？？只知道敛财！！！！　　＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝　　这句话说到点子上了，海岛论剑那个sb就是在那装瞎子回避这个问题，他居然异想天开以为ZF收了房产税就去建保障房廉租房了，白痴！！举报|1406楼|打赏|回复|评论|赞
　　海岛论剑你个sb我问你呢，ZF卖地得了那么多钱不按规定去建保障房廉租房，原因在哪里？难道他们收了房产税就去建保障房了吗，你倒是回答啊，别装瞎子！！！举报|1408楼|打赏|回复|评论|赞
　　作者：融为　回复日期：2010-12-09　21:03:00　　　国家统计局昨日公布2009年职工工资统计数据，其中城镇非私营单位在岗职工年平均工资为32736元，而私营单位就业人员平均工资仅有18199元，差距明显。　　————————————————————————————————　　你知不知道，在南方省份大部分企业都是私营，国营的很少。再就是我说的是人数，你说的是金额，没有可比性。10个拿1000元工资的和5个拿6000元工资的一平均就是2600元了，有意义吗？举报|1409楼|打赏|回复|评论|赞
　　00举报|1410楼|打赏|回复|评论|赞
　　　　如果房产税条例细则能做的好些，起征点设置得合理点，能真正保护广大中下阶层，我赞成。不过这似乎很有难度啊，因为制订政策的人自己本身也是权贵阶层，你们还值得人民信任吗？　　————　　不说这个，光说个人所得税吧，到现在起征点调整还没个影，说别的有什么用。　　　　举报|1411楼|打赏|回复|评论|赞
　　　　作者：融为　回复日期：2010-12-09　21:03:00　　　　　　　作者：海岛论剑　回复日期：2010-12-08　12:51:21　　　　　　　　　　　作者：农家游子发表日期：2010-12-812:35:00　　　　　　“中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。”　　　　　　这话基本是放屁！个人所得税就是个例子！现在变成了拿工资的人都得交税，整个一个人头税！　　　　　　——————————————————————————————　　　　　　你这话才是放屁，全国至少有一半的工薪阶层的月收入是达不到起征点交个人所得税的，怎么叫人头税了？不要只看你周围的人，去全国走一走，你就知道了！　　　　　　　　=================================================================　　　　不知道海岛lunjian这个傻帽还会不会上来，这是国家统计局提供的资料：　　　　　　　　国家统计局昨日公布2009年职工工资统计数据，其中城镇非私营单位在岗职工年平均工资为32736元，而私营单位就业人员平均工资仅有18199元，差距明显。　　　　　　　　非私营职工月均已超过2700元，私营的也超过1500，而且还是09年的，按统计局的个性，今年一定会增长5%以上，因为要超过CPI才行。个税起征点才2000，这不叫人头税叫啥?至少是非私营单位在岗职工的人头税吧。　　　　海岛lunjian这家伙一定不是非私营单位在岗职工　　　　　　我还低估了统计局，去年统计局告诉我们：职工收入增加了12%！举报|1412楼|打赏|回复|评论|赞
　　顶举报|1413楼|打赏|回复|评论|赞
作者：落点评　回复日期：2010-12-09　21:09:15　海岛论剑你个sb我问你呢，ZF卖地得了那么多钱不按规定去建保障房廉租房，原因在哪里？难道他们收了房产税就去建保障房了吗，你倒是回答啊，别装瞎子！！！————————————————————————————————以前是因为不明确，卖地收入主要投入到城建中去了。而现在是要求全国推广重庆模式，重庆模式的最大特点就是规模超大，直接覆盖1/3人群。中央决定明年建1000万套保障房，其中大部分是公租房。举报|1414楼|打赏|回复|评论|赞
　　海岛论剑你个sb我问你呢，ZF卖地得了那么多钱不按规定去建保障房廉租房，原因在哪里？难道他们收了房产税就去建保障房了吗，你倒是回答啊，别装瞎子！！！　　　　　　海岛论剑你个sb我问你呢，ZF卖地得了那么多钱不按规定去建保障房廉租房，原因在哪里？难道他们收了房产税就去建保障房了吗，你倒是回答啊，别装瞎子！！！　　　　说啊海岛！！举报|1415楼|打赏|回复|评论|赞
　　作者：wl8696505　回复日期：2010-12-09　20:58:54　　　我就不明白了，为什么控制房价就要敛财才行，ZF把土地出让金规定拿出一半建设保障房不是更能降低房价么？？？？只知道敛财！！！！　　————————————————————————　　保障房只能保障1/3人群，他们本来就不在购买商品房的人数里。2/3的人群仍需要通过商品房来解决，这不是此起彼伏的关系，两手都要抓、都要硬才对。　　举报|1418楼|打赏|回复|评论|赞
　　作者：海岛论剑发表日期：2010-12-921:13:00　　　　作者：落点评　回复日期：2010-12-09　21:09:15　　　　　海岛论剑你个sb我问你呢，ZF卖地得了那么多钱不按规定去建保障房廉租房，原因在哪里？难道他们收了房产税就去建保障房了吗，你倒是回答啊，别装瞎子！！！　　　　————————————————————————————————　　　　以前是因为不明确，卖地收入主要投入到城建中去了。而现在是要求全国推广重庆模式，重庆模式的最大特点就是规模超大，直接覆盖1/3人群。中央决定明年建1000万套保障房，其中大部分是公租房。　　========================　　不明确……笑喷　　你是装傻还是真傻？我咋觉得你像是从那些可以弹劾总统的国家回来的呢举报|1419楼|打赏|回复|评论|赞
　　作者：海岛论剑发表日期：2010-12-921:13:00　　　　作者：落点评　回复日期：2010-12-09　21:09:15　　　　　海岛论剑你个sb我问你呢，ZF卖地得了那么多钱不按规定去建保障房廉租房，原因在哪里？难道他们收了房产税就去建保障房了吗，你倒是回答啊，别装瞎子！！！　　　　————————————————————————————————　　　　以前是因为不明确，卖地收入主要投入到城建中去了。而现在是要求全国推广重庆模式，重庆模式的最大特点就是规模超大，直接覆盖1/3人群。中央决定明年建1000万套保障房，其中大部分是公租房。　　---------------------------------------------------------------　　那就先建设好了1000万套保障房，人民的道实惠后再说，后年建20000套，大后年建30000套最好，都有办法了还收什么房产税？？？？？？举报|1420楼|打赏|回复|评论|赞
　　作者：wl8696505　回复日期：2010-12-09　20:58:54　　　我就不明白了，为什么控制房价就要敛财才行，ZF把土地出让金规定拿出一半建设保障房不是更能降低房价么？？？？只知道敛财！！！！　　————————————————————————　　保障房只能保障1/3人群，他们本来就不在购买商品房的人数里。2/3的人群仍需要通过商品房来解决，这不是此起彼伏的关系，两手都要抓、都要硬才对。　　举报|1422楼|打赏|回复|评论|赞
　　以前是因为不明确，卖地收入主要投入到城建中去了。而现在是要求全国推广重庆模式，重庆模式的最大特点就是规模超大，直接覆盖1/3人群。中央决定明年建1000万套保障房，其中大部分是公租房。　　　　----------------------------　　　　你能代表政府吗？你相信政府吗？你们如果做不到，我们又能怎么样呢？！　　举报|1423楼|打赏|回复|评论|赞
　　　　作者：海岛论剑　回复日期：2010-12-09　21:20:15　　　　　　　作者：wl8696505　回复日期：2010-12-09　20:58:54　　　　　我就不明白了，为什么控制房价就要敛财才行，ZF把土地出让金规定拿出一半建设保障房不是更能降低房价么？？？？只知道敛财！！！！　　　　————————————————————————　　　　保障房只能保障1/3人群，他们本来就不在购买商品房的人数里。2/3的人群仍需要通过商品房来解决，这不是此起彼伏的关系，两手都要抓、都要硬才对。　　　　　　　　============================================　　三分之一，为好像没看到啊，有三分之一现在就没这么多人租房了！！！！　　举报|1424楼|打赏|回复|评论|赞
　　作者：海岛论剑　回复日期：2010-12-09　21:20:15　　　　　　　作者：wl8696505　回复日期：2010-12-09　20:58:54　　　　　我就不明白了，为什么控制房价就要敛财才行，ZF把土地出让金规定拿出一半建设保障房不是更能降低房价么？？？？只知道敛财！！！！　　　　————————————————————————　　　　保障房只能保障1/3人群，他们本来就不在购买商品房的人数里。2/3的人群仍需要通过商品房来解决，这不是此起彼伏的关系，两手都要抓、都要硬才对。　　　　-----------------------------------　　天天喊建设保障房，谁搬到新建的保障房里了？？？？倒是开发商的房子一天一个价。说好听的谁都会，每次都是画饼充饥，真要为民办点事，等着去吧！举报|1425楼|打赏|回复|评论|赞
